SMILES,file_name,num,1,2,3,4,e1,e2,e3,e4
C1=CC=CC=C1,re_1_0,1,1,,,,"0,0,0","0,0,0","0,0,0","0,0,0"
CC1=CC=CC=C1,re_1_1,3,3,4,5,,"1,0,0","0,1,0","0,0,1","0,0,0"
COC1=CC=CC=C1,re_1_2,3,4,5,6,,"1,0,0","0,-1,0","0,0,1","0,0,0"
C12=CC=CC=C1C=CC=C2,re_1_3,2,2,3,,,"0,1,1","0,1,1","0,0,0","0,0,0"
ClC1=C(OC)C=CC=C1,re_1_4,4,6,7,8,9,"1,-1,0","0,-1,1","0,-1,1","1,-1,0"
COC1=C(C)C=CC=C1,re_1_5,4,9,8,7,6,"1,1,0","0,-1,1","0,1,1","1,-1,0"
CC1=CC(C)=CC(C)=C1,re_1_6,1,3,,,,"2,0,1","0,0,0","0,0,0","0,0,0"
COC1=CC(OC)=CC(OC)=C1,re_1_7,1,4,,,,"2,0,1","0,0,0","0,0,0","0,0,0"
CC1=CC=CC=C1C,re_1_8,2,3,4,,,"1,1,0","0,1,1","0,0,0","0,0,0"
CC1=CC=CC(C)=C1,re_1_9,3,8,3,4,,"2,0,0","1,0,1","0,2,0","0,0,0"
C1(CCCC2)=C2C=CC=C1,re_1_10,2,7,8,,,"1,1,0","0,1,1","0,0,0","0,0,0"
CC(C1=CC=CC=C1)(C)C,re_1_11,3,4,5,6,,"1,0,0","0,1,0","0,0,1","0,0,0"
C1=CC=CS1,re_1_12,2,1,2,,,"1,0,0","0,1,0","0,0,0","0,0,0"
C12=CC=C(CCC3=CC=C(CC2)C=C3)C=C1,re_1_13,0,,,,,"0,0,0","0,0,0","0,0,0","0,0,0"
B1234B56(B378B9%10%11B4%12%138)B%147%11B5%15%16B61%17B2%18%12B%19%10%13B%15%149B%16%17%18%19,re_1_14,0,,,,,"0,0,0","0,0,0","0,0,0","0,0,0"
C12=CC=CC=C1C=CC=N2,re_1_15,0,,,,,"0,0,0","0,0,0","0,0,0","0,0,0"
COC1=CC=CC=C1OC,re_1_16,2,4,5,,,"1,-1,0","0,-1,1","0,0,0","0,0,0"
ClC1=CC=CC=C1,re_1_17,3,3,4,5,,"1,0,0","0,-1,0","0,0,1","0,0,0"
ClC1=CC=CC=C1Cl,re_1_18,2,3,4,,,"1,-1,0","0,-1,1","0,0,0","0,0,0"
OC1=CC=CC=C1,re_1_19,3,3,4,5,,"1,0,0","0,-1,0","0,0,1","0,0,0"
COC1=CC=CC(OC)=C1,re_1_20,3,10,4,5,,"2,0,0","1,0,1","0,-2,0","0,0,0"
ClC1=CC=C(OC)C=C1,re_1_21,2,4,3,,,"1,-1,0","1,-1,0","0,0,0","0,0,0"
FC1=CC=C(OC)C=C1,re_1_22,2,4,3,,,"1,-1,0","-1,-1,0","0,0,0","0,0,0"
ClC1=CC=C(C)C=C1,re_1_23,2,4,3,,,"1,-1,0","1,1,0","0,0,0","0,0,0"
COC1=CC=C(C)C=C1,re_1_24,2,4,5,,,"1,1,0","1,-1,0","0,0,0","0,0,0"
COC1=CC=C(C(OCC)=O)C=C1,re_1_25,2,4,5,,,"1,-1,0","-1,-1,0","0,0,0","0,0,0"
C12=CC=CC=C1C=CO2,re_1_26,2,8,7,,,"1,0,0","0,1,0","0,0,0","0,0,0"
C12=CC=CC=C1C3=C(C=CC=C3)O2,re_1_27,4,2,3,4,5,"1,1,0","0,-1,1","0,1,1","1,-1,0"
O=C(C1=CC=CC=C1)OCC,re_1_28,3,4,5,6,,"-1,0,0","0,-1,0","0,0,-1","0,0,0"
